,Step,Model Term,Number of Terms,Log-Likelihood,Model Degree of Freedom,Akaike Information Criterion,Bayesian Information Criterion,Sample Size,Accuracy of TestData,RMSE of TestData
96,96,"['f_marital', 'f_residence_location', 'f_mile_fire_station', 'f_aoi_tier']",4,-20652.075835734147,36,41376.151671468295,41661.62230872078,20532,0.0005729838132072769,1.7831116564834573
97,97,"['f_marital', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",4,-20577.491220008167,36,41226.982440016334,41512.45307726882,20532,0.002721673112734565,1.7794124175646893
98,98,"['f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",4,-20556.367447059652,36,41184.734894119305,41470.205531371794,20532,0.002578427159432746,1.77933191391511
99,99,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_residence_location', 'f_fire_alarm_type']",5,-20406.789143109487,36,40885.57828621897,41171.04892347146,20532,0.002435181206130927,1.7807402023435008
100,100,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_residence_location', 'f_mile_fire_station']",5,-20392.652045332983,39,40863.304090665966,41172.563947689494,20532,0.0034379028792436614,1.7806999809875526
101,101,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_residence_location', 'f_aoi_tier']",5,-20420.831766934065,42,40925.66353386813,41258.7126106627,20532,0.005156854318865492,1.7740913409257066
102,102,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_fire_alarm_type', 'f_mile_fire_station']",5,-20313.886929890192,39,40705.773859780384,41015.03371680391,20532,0.008165019338203695,1.7653089571180103
103,103,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_fire_alarm_type', 'f_aoi_tier']",5,-20332.167462991703,42,40748.33492598341,41081.38400277797,20532,0.008308265291505515,1.7624665946763218
104,104,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_mile_fire_station', 'f_aoi_tier']",5,-20328.549098314317,45,40747.098196628634,41103.93649319424,20532,0.0074487895716946,1.767539035357544
105,105,"['f_primary_age_tier', 'f_primary_gender', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station']",5,-20293.93507372673,39,40665.87014745346,40975.13000447699,20532,0.009883970777825527,1.7606369385683602
106,106,"['f_primary_age_tier', 'f_primary_gender', 'f_residence_location', 'f_fire_alarm_type', 'f_aoi_tier']",5,-20323.52404539751,42,40731.04809079502,41064.097167589585,20532,0.010027216731127346,1.7579499983029803
107,107,"['f_primary_age_tier', 'f_primary_gender', 'f_residence_location', 'f_mile_fire_station', 'f_aoi_tier']",5,-20308.906368971904,45,40707.81273794381,41064.651034509414,20532,0.00916774101131643,1.7649031856019919
108,108,"['f_primary_age_tier', 'f_primary_gender', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",5,-20229.258932200086,45,40548.51786440017,40905.35616096578,20532,0.016043546769803754,1.745315214212947
109,109,"['f_primary_age_tier', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station']",5,-20294.37036420523,42,40672.74072841046,41005.78980520503,20532,0.010027216731127346,1.761003021868811
110,110,"['f_primary_age_tier', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_aoi_tier']",5,-20323.55669650546,45,40737.11339301092,41093.95168957653,20532,0.009597478871221888,1.759904543517044
111,111,"['f_primary_age_tier', 'f_marital', 'f_residence_location', 'f_mile_fire_station', 'f_aoi_tier']",5,-20309.35536189371,48,40714.71072378742,41095.338240124074,20532,0.008881249104712791,1.7650655054023536
112,112,"['f_primary_age_tier', 'f_marital', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",5,-20229.59970819082,48,40555.19941638164,40935.82693271829,20532,0.015900300816501935,1.746053728876239
113,113,"['f_primary_age_tier', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",5,-20209.154709895294,48,40514.30941979059,40894.93693612724,20532,0.017332760349520127,1.7428512385642891
114,114,"['f_primary_gender', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station']",5,-20637.176285974612,33,41340.352571949225,41602.033989430674,20532,0.0,1.784797890385871
115,115,"['f_primary_gender', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_aoi_tier']",5,-20668.09397927615,36,41408.1879585523,41693.65859580479,20532,0.0010027216731127346,1.783191989493499
116,116,"['f_primary_gender', 'f_marital', 'f_residence_location', 'f_mile_fire_station', 'f_aoi_tier']",5,-20649.78714336511,39,41377.57428673022,41686.834143753746,20532,0.0005729838132072769,1.783312482223373
117,117,"['f_primary_gender', 'f_marital', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",5,-20575.22305151476,39,41228.44610302952,41537.70596005305,20532,0.002721673112734565,1.779734395748373
118,118,"['f_primary_gender', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",5,-20554.064363666133,39,41186.12872733227,41495.388584355795,20532,0.002578427159432746,1.77933191391511
119,119,"['f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",5,-20554.59894581882,42,41193.19789163764,41526.246968432206,20532,0.002578427159432746,1.77933191391511
120,120,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station']",6,-20291.947818778088,45,40673.895637556176,41030.73393412178,20532,0.009740724824523707,1.7610843633789064
121,121,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_aoi_tier']",6,-20321.65274986099,48,40739.30549972198,41119.93301605863,20532,0.00931098696461825,1.7612470351290574
122,122,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_residence_location', 'f_mile_fire_station', 'f_aoi_tier']",6,-20307.00491477151,51,40716.00982954302,41120.42656565071,20532,0.007878527431600058,1.765349529139875
123,123,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",6,-20227.356061892537,51,40556.71212378507,40961.128859892764,20532,0.01633003867640739,1.7446174410904687
124,124,"['f_primary_age_tier', 'f_primary_gender', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",6,-20206.86055537435,51,40515.7211107487,40920.13784685639,20532,0.017332760349520127,1.7418646723801
125,125,"['f_primary_age_tier', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",6,-20207.245055245625,54,40522.49011049125,40950.69606636998,20532,0.017332760349520127,1.7412889173079829
126,126,"['f_primary_gender', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",6,-20552.303113116974,45,41194.60622623395,41551.44452279955,20532,0.002578427159432746,1.77933191391511
127,127,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",7,-20204.95442990587,57,40523.90885981174,40975.904035461506,20532,0.017619252256123763,1.7430567029019985
